BCO_Score,Email_Snippet
3.31,"Dear  <PER> Wolfe,

This email confirms that your account has been reviewed by our  Security team. Your account status remains Active.

If you have any questions, please feel free to  contact us at <P..."
3.43,"Dear Mr. <PER>, 

Thank you for your recent online reservation at the Grand Hotel.  Your
confirmation number is 1155.  We look forward to seeing you on <DATE>.

The Grand Hotel
<PHONE>
<URL>

<ATTACHM..."
3.66,"Upgrade to a premium plan

<DATE>


Dear <PER>,

Upgrade to a premium account and get:

- Ad-free browsing
- Exclusive features
- 50% more storage

Upgrade now
<URL>


Thank you for being a <ORG> user..."
3.82,"Dear <PER>,

We have scheduled system maintenance for <DATE> at 11:00 PM (PST).  During the maintenance, the website and email will be unavailable for a period of approximately one hour.

We apologize..."
6.8,"<PER>,

Wishing you a fantastic and relaxing day from all of us.  We hope you are
having a great time in <LOC> with your family and friends.  I know you have
been working hard and deserve a break.

Pl..."
6.87,"Hello everyone!

Please welcome the newest members of the marketing team. 

<PER> is a new analyst on the marketing team. He is currently a student at Rice University studying Economics. <PER> is very..."
7.1,"Your formal directive is now available online in INSPIRE.  You can view it by clicking on the following link:  

<URL> 

You have 14 days from the date of this message to return a signed copy of this ..."
11.12,"I have attached the following documents for your review.  I will be
forwarding the documents to the Office of the Chair for final approval on
Monday.  Please let me know if you have any comments.
1.  ..."
11.18,"FINAL NOTICE: FINAL NOTICE: FINAL NOTICE: FINAL NOTICE: FINAL NOTICE

This is your FINAL NOTICE regarding your unpaid invoice # 4592
for $ 2, 000.00.  You have failed to make any payments on this
invo..."
12.35,"Dear <PER>,

Your reservation at Luigi's has been confirmed.

We are looking forward to welcoming you on Friday night.

See you then!

Best wishes,

Luigi's Team..."
15.29,"The following memo was sent to all <ORG> employees this afternoon by <PER>, <PER> and <PER>.






<ORG> CIRCULAR 230 NOTICE. Any tax advice expressed above by <ORG> was not intended or written to be ..."
17.67,"Your subscription is about to expire. Renew now to continue receiving
<ORG> and to help support our vital work.

Dear <ORG> subscriber,

As you read this, <ORG> is working to hold the <ORG> accountabl..."
20.03,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Dear Colleague,

We'd like to thank you for your generous supp..."
23.71,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Enjoy free shipping on orders of $75 or more.* 
Use promo code..."
24.03,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on over 10,000 items.* 

Get free shipping o..."
31.32,"Hello neighbors!

Please join us for our annual potluck gathering next Wednesday, <DATE>, at 6:30 p.m. at the home of <PER> and <PER> Wollam at 3901 34th Place, NW.

All are welcome.  We hope to see y..."
32.68,"<PER>,

In response to our request for additional information, we have received some additional detail on the following deal:


Deal  658029.1

We need the following additional information:

Counterpa..."
33.57,"Thank you for your order.  Please find a receipt for your
transaction enclosed below.


<ATTACHMENT>..."
34.64,"Dear <PER>,

Thank you for making an appointment with <PER> for <DATE> 10:00 AM.  Your appointment has been scheduled and you will receive a confirmation email with further details shortly.

Best rega..."
35.12,"You have 1 new piece of mail.

View your new piece of mail: 
<URL>

-----------------------------------------------------------------

YOU'VE GOT MAIL

Get your mail from anywhere, at any time with yo..."
43.51,"Dear Customer,

We have received your payment for the following transaction:

Transaction Date: <DATE>
TechStore ID: 7J3H8W3Y
Item: 1 - Microsoft Windows XP Professional
Item: 1 - Microsoft Office XP ..."
45.23,"<PER>,

I have scheduled a meeting with you for next week, <DATE> at 3:00 p.m. in 49C3.  The purpose of the meeting is to discuss <ORG> Power Marketing Inc. and the <ORG> Merchant Investment Fund.  I ..."
48.45,"Dear <PER>,

We've received your order for:

Gibson Guitar Model #335 1960 Vintage Cherry Red Sunburst

This item will be shipped from our warehouse in <LOC>. 

This e-mail confirms that we have recei..."
48.64,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
49.13,"You've received this e-mail because you paid an invoice online with American Express Business Travel. Please keep this e-mail for your records.

Transaction summary available
Your transaction summary ..."
53.39,"Your immediate attention is required.  Possible data loss. 
Click here to review: 
<URL>

This is the Market Data Services Alert Notification email. Please do not reply to this email. Please contact y..."
58.89,"All,

I wanted to confirm that tomorrow's meeting will take place in EB-49C2 from
12:00pm-2:00pm. I've also attached the agenda for tomorrow's meeting. Please
let me know if you have any questions.

T..."
62.49,"Please see the attached document for information regarding the <ORG> Gas Trading holiday schedule for 2002.


Thank you,
Michele..."
63.46,"Dear Subscriber,

Thank you for renewing your subscription to The
Street.com.

Your subscription has been renewed for 1 year
from <DATE> for the following publication(s):

TheStreet.com

Your subscrip..."
65.16,"Please see attached Executive Summary from <PER>, <PER> and <PER>.

<ATTACHMENT>

<ATTACHMENT>..."
69.02,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
69.63,"Please find attached a memo regarding <ORG> policy updates.

<ATTACHMENT>


<ATTACHMENT>..."
69.74,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
72.73,"Please open the attached document, fill in the blanks, and return it to us via email at <EMAIL> as soon as possible.

<ATTACHMENT>

This is a legal document that you must return to us in order for us ..."
73.37,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items.* 

Shop now:
<URL..."
75.86,"<ORG>
*****************************************************************
Click here to view the full email: 
<URL>
*****************************************************************
This email was sent ..."
77.0,"<ORG>
*****************************************************************
Click here to view the full email: 
<URL>
*****************************************************************
This email was sent ..."
77.0,"<ORG>
*****************************************************************
Click here to view the full email: 
<URL>
*****************************************************************
This email was sent ..."
77.76,Thank you for contacting the <ORG> IT Help Desk.  Your request has been processed.  You can close this ticket now....
77.84,"Weekly Newsletter
-------------------------------------------------

<DATE>

<ORG> University's Center on International Cooperation (CIC) publishes a
weekly newsletter to keep you up-to-date on our la..."
79.01,"Dear  SmartReminders Member,
Travelocity.com  has sent you this message to let you know about  our latest deals and special promotions.  If you would like to change your travel preferences or  unsubsc..."
79.01,"All,

At today's project team meeting, we reviewed the current status of the project and discussed the next steps.  The next steps are as follows:

1.	Complete the draft information memorandum by <DAT..."
79.77,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
80.52,"<PER> Evans
Vice President
Corporate Law Department
<ORG>.
<PHONE>
<EMAIL>

<ATTACHMENT>..."
81.44,"<PER>,

I would like to set up a time to follow-up on our conversation regarding the ETS <LOC> Marketing and Origination team.  I have a couple of questions that I would like to discuss further with y..."
83.98,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
87.33,"Dear PATRICE MIMS,

This message is to inform you that we have detected a potential problem with your bill. You are receiving this message because you have not yet responded to our previous notificati..."
88.3,"If you're a Premium member and you'd like to see this week's offer, click here. If you're not a Premium member and you'd like to be one, click here. [ <URL> ]



Unlock your true potential. 

Our expe..."
88.68,"We are currently verifying your account information.  Please click here now <<URL> and verify your information before your account is suspended.  Once you have verified your information, your account ..."
89.39,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
89.96,"As you know, this is an unprecedented time in <ORG>'s history.  We must adapt our internal procedures to fit the immediate needs of our company during this time of transition.  Therefore, I am initiat..."
91.1,"As you know, <ORG> has been working to reorganize its wholesale business, with the goal of creating a single business unit that focuses on the development of <LOC>'s wholesale gas and power markets.

..."
92.9,"Booking confirmation for <EMAIL> for flight

<DATE> QF 3023 SYD-BNE

Booking reference: 9A9B6A

We've sent you a confirmation email with details of your flight.
If you have booked more than one flight..."
93.07,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
93.63,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
94.35,"Dear <PER>,

Thank you for renewing your <ORG> Premium subscription.

This email confirms that your subscription has been renewed for the
<ORG> Annual Premium Plan. You can access your subscription us..."
94.39,"Dear PATRICE MIMS,

Your appointment is confirmed for the selected date.  You will see a
confirmation number on the next page.

Confirmation Number:  101-7F3B-0F8B  (This number is not a reservation
n..."
94.44,"Thank you for your business.  Your transaction has been completed.

Invoice # : 9932
Customer # : 1059
Amount     : $100.00
Payment Method : Credit Card

Please keep this email for your records.

Sinc..."
94.75,"Urgent: We need to verify your identity to prevent account lock. 

We've noticed a large number of unauthorized logins to your <ORG> account. To protect your account, we need to verify that you are th..."
95.28,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
95.58,"<ATTACHMENT>
<PER> and I will follow up with you on the project schedule and a timeline
for your presentation to <PER>.

<PER>
<PHONE>

<ATTACHMENT>..."
95.98,"URGENT!  URGENT!  URGENT!  URGENT!  URGENT!

FINAL NOTICE

We apologize for the short notice, but we didn't have a good fix for the
problem until late last night.  Here is the situation.

The problem ..."
96.03,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
96.46,"<PER> and <PER>,

Here is the note I took during today's meeting.  I have added a few
comments to the note.  If you have any questions, please feel free to
call me at <PHONE>.

<ATTACHMENT>..."
96.66,"Management Update
<DATE>

<ATTACHMENT>  <ATTACHMENT>  <<URL>
<ATTACHMENT>  <ATTACHMENT>

<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT>..."
96.95,"Payment completed.

You have received this e-mail because we have completed a payment
to an e-mail address that you supplied.  The e-mail address is
<EMAIL>.

The payment has been made to an American ..."
97.91,"Today, the Board of Directors approved a new set of operational standards. These standards will help <ORG> achieve its vision of being the world's leading company.

The standards, which were developed..."
97.94,"Dear Tracy,

We have received your booking and this email confirms your reservation
with us.

Please print this email and take it with you on your trip.

Please note that if you have booked more than ..."
98.01,"This memo is being sent to all <ORG> staff to clarify the procedures for
accessing our office building in light of the new security measures that
have been implemented.  We have attached a copy of the..."
98.22,"<ATTACHMENT>

<ATTACHMENT> 
<ATTACHMENT>..."
98.37,"New Opportunity Awaits... Click here to view this message in a browser:
<URL>

Dear Amazon.com Customer,

We hope you enjoyed receiving this message. However, if you'd rather not receive future e-mail..."
98.42,"<PER>,

I wanted to follow up on our conversation of <DATE> and attach a
draft of the notes I took from that conversation. I also wanted to
confirm your address. Is the following correct?

<EMAIL>

I ..."
98.97,"<ORG> has updated our <ORG> Terms of Service and Privacy Policy. These changes will take effect on <DATE>. 

Our Commitment to Transparency

At <ORG>, transparency is one of our core values. That is w..."
99.21,I'm trying to get a handle on the number of people that will be attending.  We will be providing a light breakfast and lunch.  Would you please let me know how many people will be attending the team b...
99.26,"Please respond to the following question about your opinions on the <PER> Administration's policies.

Do you think <PER> Administration's policies have had a positive effect on the following: the econ..."
99.28,"<PER>,

I received your last email, and I am not sure that I understand it.  I am currently employed with <ORG>, and I am interested in working on your campaign.  What do you mean by ""other employment..."
99.42,"Please respond to status inquiry.  Please provide a brief status update on your project.  For those projects that are completed or substantially completed, please provide a project summary.  For those..."
99.53,"Dear MONIKA,


This email confirms that you have successfully reserved your seat in the following trip(s).  Please print this email and take it with you to the airport.


Thanks for using FlyNow!

***..."
99.57,"Payment Successful!

Thank you for your payment. You have successfully completed your payment.

Reference Number:  0000 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 ..."
99.67,This email is to alert you that there has been a suspicious login attempt from an unrecognized device with your <ORG> ID. Please note that this is not an automatic notification from <ORG> - you will n...
99.76,"THIS IS A REAL EMAIL! DO NOT CLICK ON THE LINK!

Your account has been accessed from an unusual location. Please review your
security information and update any information that may have changed.

Cli..."
99.82,"High Priority: Review your security settings immediately

Dear mydell.com member,

Our records indicate that your account does not have the latest security features enabled. To protect your account an..."
99.83,"Dear Taxpayer,

Due to recent changes in law, you need to file electronically if you owe
the IRS more than $5,000.  This new law also requires you to pay your
taxes electronically if your liability is..."
99.86,"Dear Mr. Kaminski,

In just a few days, the <DATE> deadline to be included in the
2001-2002 <ORG> Directories will expire.  Please take a moment now to
complete and submit the information below.  For ..."
99.9,"Dear Mr. <PER>:

Please be informed that the Legal Department will be sending you an e-mail
in the next few days that will contain a list of documents and information
that will be needed for the upcom..."
99.9,"Monthly digest: The top 10 science fiction books recommended by our editors.

This month we looked at science fiction books that explore the nature of reality. What if there was another way to see the..."
99.92,"This is a confirmation of your hotel reservation.

Your reservation number is:  8000

This e-mail is not an acceptance of the reservation, this is only a
notification of your reservation.  You will re..."
99.93,"New security protocols implemented for all remote employees. 

Due to the recent <ORG> Cyber attacks and the escalating threat level, all remote employees must immediately begin using the Global Cross..."
99.94,"Dear JERRY DAVIS,

Thank you for making your travel plans with Continental Airlines
and Continental Express.  Your reservation is confirmed.

We have sent you a confirmation number for your files.  Pl..."
99.95,"Thank you for shopping with Amazon.com.

We have received your order and it is currently being processed.
This means that we have verified your credit card and that the
item(s) you ordered are still i..."
99.95,"<ATTACHMENT>

<PER> --

You've got an incredible opportunity to meet <PER> personally, and it's almost time to
grab your VIP seat. 

Before the event, we'll be sending you a special link to RSVP and c..."
99.96,"Please respond to Final Notice

Final Notice

Your response is needed within 12 hours.

1.  Your 2001 tax information is not yet complete and you have not yet signed a 2001 tax data authorization.

2...."
99.96,"Please be advised that the <ORG> has been notified by the Court of its duty to comply with the following order:


It is hereby Ordered that the defendants immediately accept service of process by pers..."
99.96,"<ATTACHMENT>
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT>..."
99.96,The following is a reminder that you are scheduled to appear before the <ORG> Board of Directors at the next meeting on <DATE> at 11:00 a.m.  The meeting will be held in the boardroom on the 3rd floor...
99.96,"In light of recent media reports and for reasons of confidentiality, we ask that all employee communications regarding the company and its business be sent to the following addresses only: 

For <LOC>..."
99.96,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Enjoy 40% off your next purchase, now through <DATE>!

Use pro..."
99.96,"Thank you for shopping with <ORG>!

Your payment for the following order is now finalized.  Please note that
your credit card bill will show a single charge for the total amount
rather than separate c..."
99.96,"To:  <ORG> Employees

From:  <PER>, Office of the Chairman

Re:  Final resolution report on the recent global service outage.


As you know, on <DATE>, <ORG>'s global IT infrastructure experienced a s..."
99.97,"Failure to follow may result in penalties.
Click on the following link to learn more: 
<URL>

This message was sent to <EMAIL>. 
Your e-mail address will only be used within the 
<ORG>. We do not sell..."
99.97,"Dear User,

Thank you for registering with E*TRADE Securities. Your subscription to our service has been activated successfully. You may now log in to your account.

Please note that you may now begin..."
99.97,"<font size = 2 face = 'Verdana, Helvetica, sans-serif'>
Dear <PER>,
<BR><BR>
We just wanted to let you know that your flight schedule has changed.
<BR><BR>
Here are the details of your new flight:
<BR..."
99.98,"Administrative Directive

To:	All <ORG> Employees

Re:	Required actions for all members

As you are aware, <ORG> and its employees have been the subject of several investigations by federal authoritie..."
99.98,"<PER>:

We are in the midst of a leadership crisis.  The senior leadership of <ORG> has lost the confidence of the employees.  The senior leadership team has lost its credibility.  The senior leadersh..."
99.98,"Official Notice 
<DATE>
----------------------------------------

This is a notice to inform you of some changes to our policies.

Account security
We are committed to maintaining the privacy and secu..."
99.98,"Please make the time to attend the mandatory annual certification training session on the <ORG> Code of Conduct.  This year's session will be held on <DATE> at 8:00 AM at the Double Tree Hotel, and on..."
99.98,"This is a message from the <ORG> Department of Justice.  This message is
required by law and is being sent to you as a policyholder of <ORG>.  We
must advise you that the <ORG> Department of Justice h..."
99.98,"Executive Announcement

Structural changes to the program

In order to further strengthen the core values of the program, the <ORG> has decided to separate the policy and planning functions of the pro..."
99.98,"Dear NEW YORK YANKEES FAN,

If you have received this email it is because we are trying to reach you with your exclusive access to our new online store at <URL>. This offer expires in exactly 2 hours...."
99.98,"Dear user,

To protect your privacy, we are writing to remind you to review your privacy and security settings. Please click the link below to review your privacy and security settings. You can change..."
99.98,"Dear <PER>,

This email is to remind you that your request for information is
scheduled to expire in 2 days.  If you have not yet received the
information you requested, you may need to submit another..."
99.98,"Dear <ORG>.biz user,

You have not yet confirmed that your identity
is associated with the account you used to
access <ORG>.biz. As a result, we have
limited access to the account information
you have..."
99.98,"Please do not reply to this message.

This message is being sent to you as the owner of a Yahoo! account. We are sending you this message to alert you to a possible security risk to your account.

The..."
99.98,"URGENT: Immediate action required to avoid service interruption.
1. Clear your Outlook folders of all items (move them to your personal folder file).
2. Empty your Recycle Bin.
3. Close all applicatio..."
99.98,"Dear MYBB USER,

We have recently received a report of a security breach involving MYBB.COM.  As a result, we have taken immediate action to ensure the security of our members' accounts. We are asking..."
99.98,<PER> and <PER> have agreed to a complete restructuring of the IT and Engineering departments.  The restructuring will include a 10% reduction in the IT staff.  The IT and Engineering staff will be di...
99.98,"<PER>,

I wanted to introduce myself and provide a few details on where I am coming from.  I am currently a manager at <ORG> in the <LOC> office.  I manage a team of 6 and I have been with <ORG> for a..."
99.98,"I thought it would be helpful to recap what we talked about last week so
that we could move forward with a plan.  This is what I remember from our
conversation:

1.     We discussed the idea of using ..."
99.98,"<PER>,

I hope you are doing well.  I have a quick question about your availability for a meeting with <PER> and <PER> on Monday, <DATE> from 2:30pm to 4:30pm.  <PER> is going to be out of the office ..."
99.98,"Here is an update on the current project status:

Project 1.	Replace gas meters on all production wells with meters that are capable of sending accurate measurement and operational data via satellite...."
99.98,"<<URL>	  <<URL>	  <<URL>	
<<URL>	  <<URL>	  <<URL>	
<<URL>	
<<URL>	  <<URL>	
<<URL>	
<<URL>	  <<URL>	
<<URL>	
<<URL>	  <<URL>	
<<URL>	
<<URL>	
<<URL>	
<<URL>	  <<URL>	
<<URL>	
<<URL>	  <<URL>	
<<URL>	..."
99.98,"Your personalized deals are ready!  
View your personalized deals <<URL>   


<<URL>  <<URL>  <<URL> 
<<URL>  <<URL>  <<URL> 
<<URL>  <<URL>  <<URL> 
<<URL>  <<URL>  <<URL> 
<<URL>  <<URL>  <<URL> 
<<..."
99.98,"Click here to view the Newsletter online:
<EMAIL>


GET A 3RD NIGHT FREE AT ANY OF OUR 2,400 LOCATIONS!
<URL>


<PER> - 
This is your last chance to get our special 3rd night free offer!
It's our way ..."
99.98,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
99.98,"<<URL>	 
<<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<URL>	 

<<URL>	 <<URL>	 
<<URL>	 <<URL>	 
<<URL>	 <<U..."
99.98,"Introducing our new product line.

Dear  SmartReminders member,
We  are pleased to announce the launch of our new line of products for  women.  The products are available exclusively through our websi..."
99.98,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items.* 
<URL>

Find the..."
99.98,"Dear <PER>,

This email confirms that your order has been received and is being processed. The following items will be shipped to you in 1 business day. Please note that orders placed on Friday afte..."
99.98,"Dear <PER>,

Thank you for your generous donation to the Wildlife Foundation. You have made a real difference by helping to save endangered species. 

Your donation will be put to work right away, hel..."
99.98,"Thank you for your recent trip planning request to Tripmasters.  We are
pleased to assist you with your trip to <LOC>.

The attached itinerary contains an electronic ticket number for your
flight.  If..."
99.98,"Dear <PER>,

Thank you for your purchase at Amazon.com.  We have received payment for your order.  Your payment information has been authorized.  We will ship your items as soon as they become availab..."
99.98,"Dear Customer,

Your reservation is now complete.  You can view your reservations online
at any time by clicking on the link below.  If you need to make any
changes, you can do so by clicking on the l..."
99.98,"Your security matters to us.

We have recently made improvements to your account's security. As part of this process, you are receiving this message to confirm that you are the owner of the email addr..."
99.98,"As you know, <ORG> and <ORG> are both major players in the energy markets.  We anticipate that the <ORG> will continue to be a focus of media and congressional scrutiny.  While the <ORG> has no reason..."
99.98,"John,

Thanks for the info on the 2001 and 2002 P&L.  I was hoping that you could help me out with the following:

1.  I have a request in for the 2001 P&L for the 2nd and 3rd Qtr.  The request is for..."
99.98,"Hi <PER>,

I wanted to follow-up with you on our morning meeting about the website design mockups.  I know that you were on a conference call for most of the meeting, but I wanted to make sure that I ..."
99.98,"<PER>:

I am sending you a summary of the activities that we have undertaken in the past few weeks.  I would appreciate your feedback and comments.

1.  We have been working closely with the financial..."
99.98,"Team <LOC> - <LOC>:

Please join me in welcoming <PER> <PER> to our team.  <PER> is a Vice President in the <ORG> Fundamentals group.  She will be supporting the team on a full-time basis starting nex..."
