prompt,SFT_Display,BCO_Display,KTO_Display
"subject: Immediate Action Required: Verify your identity to prevent account lock.
urls: True
attachments: False
sentiment: urgent, authoritative
->
body:","******* Attention: Your Email Security Is At Risk. *******



Dear VALERIE VARGAS, 

We have receive... [99.53%]","Urgent: We need to verify your identity to prevent account lock. 

We've noticed a large number of u... [75.94%]","This is an automated email notification. Please do not reply.

Your <ORG> account is at risk of bein... [99.98%]"
"subject: URGENT: Time-sensitive legal document requires your signature immediately.
urls: True
attachments: True
sentiment: urgent, formal
->
body:","0201c5f0b4f8

You are receiving this message because you were identified as a contact for <PER> Pier... [93.82%]","Please open the attached document, fill in the blanks, and return it to us via email at <EMAIL> as s... [72.73%]","Dear <PER>,

I'm writing to ask you to sign an important document. I'm attaching a form for you to p... [99.95%]"
"subject: Alert: Suspicious login attempt from an unrecognized device.
urls: True
attachments: False
sentiment: urgent, protective
->
body:","2016-10-25 12:49:29
This email is to alert you about a suspicious login attempt from an unrecognized... [96.73%]",This email is to alert you that there has been a suspicious login attempt from an unrecognized devic... [24.55%],This email is to alert you that there has been a suspicious login attempt from an unrecognized devic... [99.96%]
"subject: Final Warning: Claim your pending rewards before they disappear at midnight.
urls: True
attachments: False
sentiment: urgent, persuasive
->
body:","1,100,000,000 miles

How many miles do you have?

<PER>, you have 4,000 miles in your account. These... [19.29%]","You have 1 new piece of mail.

View your new piece of mail: 
<URL>

--------------------------------... [0.21%]","Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~... [97.51%]"
"subject: Urgent Update: Last-minute changes to your flight schedule for tomorrow.
urls: True
attachments: False
sentiment: urgent, informative
->
body:","*******LAST-MINUTE CHANGE: Your flight schedule for tomorrow has changed. 
If you don't make these c... [29.11%]","<font size = 2 face = 'Verdana, Helvetica, sans-serif'>
Dear <PER>,
<BR><BR>
We just wanted to let y... [99.59%]","Dear <PER>,

Last-minute changes to your flight schedule for tomorrow. Please read this
email carefu... [0.07%]"
"subject: URGENT: Immediate action required to secure your account
urls: True
attachments: False
sentiment: urgent
->
body:","*******URGENT: We need to confirm your identity before you can use your account.*******


You receiv... [91.13%]","Dear MYBB USER,

We have recently received a report of a security breach involving MYBB.COM.  As a r... [99.83%]","Last chance to secure your account. We need to verify your identity.
Don't miss this chance to prote... [84.59%]"
"subject: Time-sensitive: Your response is needed within the next hour
urls: False
attachments: False
sentiment: urgent
->
body:","1.  The following message was sent to you as a reminder.

2.  If you have already responded, you can... [99.98%]",Please respond to the following question about your opinions on the <PER> Administration's policies.... [12.81%],"Please be advised that your response is needed in the next hour for the following reports:

<LOC> Ga... [99.98%]"
"subject: Final Notice: Service interruption scheduled for today
urls: True
attachments: False
sentiment: urgent
->
body:","24th ANNUAL MEETING OF THE COALITION OF BLACK LAWYERS
~~~~~~~~~~~~~~~~~~~
Dear CBL Member:

The CBL ... [0.36%]","URGENT!  URGENT!  URGENT!  URGENT!  URGENT!

FINAL NOTICE

We apologize for the short notice, but we... [0.18%]","Dear Colleagues,

We are still experiencing technical difficulties with the email system.  We are wo... [99.78%]"
"subject: Critical Update: Please review these changes immediately
urls: False
attachments: False
sentiment: urgent
->
body:","2001 - The Year of the Monkey

Monday, <DATE>
Pre-Market: 7:30 AM - 8:30 AM (CST)
Post-Market: 3:00 ... [97.65%]","Critical Update: Please review these changes immediately

It is critical that you review and approve... [1.42%]","Critical Update: Please review these changes immediately.

This document contains information that i... [96.09%]"
"subject: Immediate Attention Required: Billing issue detected
urls: True
attachments: False
sentiment: urgent
->
body:","12.4.2001
Dear <PER> Wolfe,

This message is to inform you that a potential problem has been detecte... [11.49%]","Dear PATRICE MIMS,

This message is to inform you that we have detected a potential problem with you... [71.98%]",This message is to inform you that your <ORG> bill for <DATE> is incorrect. Please contact us immedi... [32.14%]
"subject: Action Needed Now: Your subscription is about to expire
urls: True
attachments: False
sentiment: urgent
->
body:","2016 Member  ID: 1650297

Dear  1650297,

Your subscription to TIME is about to expire. Renew now an... [5.95%]","Your subscription is about to expire. Renew now to continue receiving
<ORG> and to help support our ... [1.59%]","This is your last chance to renew your subscription to <ORG>.

Click here to renew now:
<URL>

If yo... [12.84%]"
"subject: Emergency Alert: Confirm your identity to avoid lockout
urls: True
attachments: False
sentiment: urgent
->
body:","1.  Click on this link to get your security code. 
<URL>

2.  Enter your security code and password ... [81.9%]","Your security matters to us.

We have recently made improvements to your account's security. As part... [99.01%]","Dear MYHEALTHDAUGHTER USER,

You are receiving this message because our records indicate that you ha... [99.16%]"
"subject: Deadline Approaching: Submit required documents today
urls: False
attachments: True
sentiment: urgent
->
body:","2001 Rollover Deadline: <DATE>
Dear Participant:

The 2001 benefit plan contribution and payroll ded... [24.19%]","<ATTACHMENT>
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<ATTACHMENT> 
<AT... [99.96%]","Attached you will find the 2 documents that need to be submitted to
<ORG> by the end of the day toda... [48.72%]"
"subject: High Priority: Review your security settings immediately
urls: True
attachments: False
sentiment: urgent
->
body:","5 Minutes to Secure Your Account
Dear <PER> D <PER>, 
We take your security seriously. This email is... [97.5%]","High Priority: Review your security settings immediately

Dear mydell.com member,

Our records indic... [99.82%]","Dear MyMedLife member,

MyMedLife is committed to providing a secure online environment for you.  As... [88.25%]"
"subject: Immediate Response Needed: Unusual activity detected
urls: True
attachments: False
sentiment: urgent
->
body:","15.7% of employees have not completed their pre-benefits questionnaire. 

Please complete your quest... [79.12%]","Your immediate attention is required.  Possible data loss. 
Click here to review: 
<URL>

This is th... [53.39%]","Dear <PER>,

A recent analysis of our records shows that you have not yet taken the important step o... [82.99%]"
"subject: Official communication regarding policy updates.
urls: False
attachments: True
sentiment: authoritative
->
body:","1) The <ORG> has authorized a $1000 per week increase in the subsidy
for employees who use their per... [96.67%]","Please find attached a memo regarding <ORG> policy updates.

<ATTACHMENT>


<ATTACHMENT>... [69.63%]","Attached is the official communication regarding the policy updates.

<ATTACHMENT> 


<PER> Kearney
... [76.16%]"
"subject: Notice from administration: Compliance required.
urls: False
attachments: False
sentiment: authoritative
->
body:","1.      No mass mailings or e-mailings of any kind are permitted from any <ORG> system or resource.
... [31.17%]",Please be advised that the <ORG> has been notified by the Court of its duty to comply with the follo... [43.6%],Please see the following notice from the <ORG> Office of the Chairman regarding compliance with <ORG... [98.88%]
"subject: Formal directive: Review updated terms and conditions.
urls: True
attachments: False
sentiment: authoritative
->
body:","****** Updated Terms and Conditions for use of the Website. Please Read. ******
Dear Valued Subscrib... [6.45%]",Your formal directive is now available online in INSPIRE.  You can view it by clicking on the follow... [7.1%],We are issuing a new formal directive to all employees.  Please review the updated terms and conditi... [99.9%]
"subject: Important: New regulations now in effect.
urls: True
attachments: True
sentiment: authoritative
->
body:","2001 SUMMARY OF TAX LAW CHANGES

<ATTACHMENT> 

<ATTACHMENT>... [97.98%]","Dear Taxpayer,

Due to recent changes in law, you need to file electronically if you owe
the IRS mor... [98.25%]","Dear  <PER> D <PER>, 

The new federal regulations for the Health Insurance Marketplace are now in e... [99.88%]"
"subject: Statement from management: Mandatory action required.
urls: False
attachments: False
sentiment: authoritative
->
body:","5 PM Update:  

Dear <ORG> Employees:

<PER>, <PER> and <PER> have been working diligently to reach ... [99.95%]","In light of recent media reports and for reasons of confidentiality, we ask that all employee commun... [99.96%]","We are in the process of moving to a single environment for all employees, and you have been randoml... [0.12%]"
"subject: Official notice: Scheduled system maintenance.
urls: False
attachments: False
sentiment: authoritative
->
body:","01:00 AM <DATE> to 02:00 AM <DATE>

Dear <ORG> Customer:

Please be aware that at 01:00 AM <DATE> th... [6.28%]","Dear <PER>,

We have scheduled system maintenance for <DATE> at 11:00 PM (PST).  During the maintena... [3.82%]","Dear Customer,

We are planning to perform system maintenance on <DATE> from 10:00 a.m. to 2:00 p.m.... [0.39%]"
"subject: Compliance alert: Immediate adherence required.
urls: False
attachments: True
sentiment: authoritative
->
body:","2001 Compliance Alert #5
<DATE>

TO:		All <ORG> employees worldwide
All <ORG> directors and officers... [0.03%]","Attached is an updated list of compliance alerts, with new information
highlighted in yellow.  Pleas... [0.88%]","Attached is a memo from the Office of the Chair regarding the <ORG> Trading
Policy.

Please give thi... [90.99%]"
"subject: Corporate update: Changes to internal procedures.
urls: False
attachments: False
sentiment: authoritative
->
body:",1.	New Procedures for <ORG> Cash and Trading.  <ORG> Cash and <ORG> Trading have been separated from... [5.78%],"As you know, this is an unprecedented time in <ORG>'s history.  We must adapt our internal procedure... [1.27%]",This week has been a difficult time for <ORG>.  We must now concentrate on what is most important to... [99.83%]
"subject: Executive message: Strategic updates and next steps.
urls: False
attachments: True
sentiment: authoritative
->
body:","1.     The <PER> message is resonating.

2.     The economy is our strongest issue.

3.     We are t... [99.86%]","<ATTACHMENT>

<ATTACHMENT> 
<ATTACHMENT>... [98.22%]","Dear <PER>,

I am attaching the most recent Executive message for your review.  I
would greatly appr... [18.17%]"
"subject: Formal notification: Account status review.
urls: True
attachments: False
sentiment: authoritative
->
body:","**********************
This message is intended only for the use of the individual or entity to whic... [49.34%]","Dear  <PER> Wolfe,

This email confirms that your account has been reviewed by our  Security team. Y... [3.31%]","Dear <PER>, 

I am contacting you today to let you know that your account is being reviewed. This re... [99.87%]"
"subject: Official Policy Update: Mandatory compliance required by Q3.
urls: True
attachments: True
sentiment: authoritative, formal
->
body:","********************
* FINAL NOTICE *
********************

The following message was sent to you as... [6.57%]","This is a message from the <ORG> Department of Justice.  This message is
required by law and is bein... [91.76%]","Dear FPA Members:

Attached is the official policy update from the FPA Board of Directors, as
requir... [0.29%]"
"subject: CEO Announcement: Strategic organizational changes for the upcoming year.
urls: False
attachments: False
sentiment: authoritative, serious
->
body:",1. We are pleased to announce the following organizational changes that will become effective <DATE>... [98.22%],"As you know, <ORG> has been working to reorganize its wholesale business, with the goal of creating ... [3.78%]","To: <ORG> Employees Worldwide

From: <PER>, <PER>, <PER>, <PER>, and <PER>

Today, we are announcing... [99.98%]"
"subject: Directive: New security protocols implemented for all remote employees.
urls: True
attachments: True
sentiment: authoritative, strict
->
body:","1. New security protocols implemented for all remote employees.
2. You must have your ID badge with ... [7.76%]","New security protocols implemented for all remote employees. 

Due to the recent <ORG> Cyber attacks... [97.36%]","New security protocols implemented for all remote employees. 

Due to the nature of the current glob... [5.49%]"
"subject: Important Notice: Binding changes to our Terms of Service and Privacy Policy.
urls: True
attachments: False
sentiment: authoritative, legal
->
body:","**********************
This email is not sent unsolicited. This is a
message for registered users of... [60.12%]",<ORG> has updated our <ORG> Terms of Service and Privacy Policy. These changes will take effect on <... [71.79%],"<ORG> Inc. (""<ORG>"") respects your privacy. Please take a moment to review our new Privacy Policy an... [77.69%]"
"subject: Legal Department: Strict compliance requirements for the upcoming financial audit.
urls: False
attachments: True
sentiment: authoritative, demanding
->
body:","2001 Financial Audit
To All <ORG> Employees:
The <ORG> Audit Committee of the Board of Directors has... [5.72%]","Dear Mr. <PER>:

Please be informed that the Legal Department will be sending you an e-mail
in the n... [0.83%]",Please review and follow the attached audit compliance checklist for the upcoming financial audit.  ... [64.63%]
"subject: Management Update: Official guidelines for the quarterly performance review.
urls: True
attachments: True
sentiment: authoritative, instructive
->
body:","1. The purpose of this meeting is to provide a forum for the executive
management team to exchange i... [0.53%]","Management Update
<DATE>

<ATTACHMENT>  <ATTACHMENT>  <<URL>
<ATTACHMENT>  <ATTACHMENT>

<ATTACHMENT... [96.66%]","Management Update
<DATE>

The following message was sent to you as a member of the <ORG> Management ... [99.9%]"
"subject: Official Communication: Complete restructuring of the IT and Engineering departments.
urls: False
attachments: False
sentiment: authoritative, informative
->
body:","1) Complete restructuring of the IT and Engineering departments.

The two departments will be merged... [96.39%]",<PER> and <PER> have agreed to a complete restructuring of the IT and Engineering departments.  The ... [99.98%],"As of today, the IT and Engineering departments are being completely restructured.  The purpose of t... [96.29%]"
"subject: Executive Summary: Q2 Financial Results and Board of Directors Decisions.
urls: False
attachments: True
sentiment: authoritative, professional
->
body:","2nd Quarter Financial Results and Board of Directors Decisions.

Greetings,

Attached for your revie... [9.53%]","Please see attached Executive Summary from <PER>, <PER> and <PER>.

<ATTACHMENT>

<ATTACHMENT>... [65.16%]","<ATTACHMENT>  <ATTACHMENT>

<ATTACHMENT> 
<ATTACHMENT>... [99.26%]"
"subject: Mandatory Training: Annual corporate code of conduct certification.
urls: True
attachments: False
sentiment: authoritative, obligatory
->
body:","2016 Annual Certification - Corporate Policy & Code of Ethics

As a condition of employment, all emp... [35.34%]",Please make the time to attend the mandatory annual certification training session on the <ORG> Code... [1.64%],"This is the link to the annual corporate code of conduct certification.

<URL>

Thank you,

Rakhi Bh... [91.88%]"
"subject: Official Statement: Final resolution report on the recent global service outage.
urls: True
attachments: True
sentiment: authoritative, resolute
->
body:","11:00 AM <DATE>
The following message was sent to the <ORG> community on <DATE> by
<PER>, President,... [91.86%]","To:  <ORG> Employees

From:  <PER>, Office of the Chairman

Re:  Final resolution report on the rece... [0.32%]","<ATTACHMENT>     

<ORG> Global Technology Communications
<EMAIL> <EMAIL>>
<URL> <<URL>... [85.68%]"
"subject: Official Notice: Policy updates effective immediately
urls: True
attachments: False
sentiment: authoritative
->
body:",2O16 is already shaping up to be a BIG year. We have to make sure we have the resources we need to w... [0.39%],"Official Notice 
<DATE>
----------------------------------------

This is a notice to inform you of ... [99.77%]","Official Notice
<DATE>

To: All <ORG> University Faculty and Staff

RE: Policy updates effective imm... [7.45%]"
"subject: Mandatory Compliance: Please review the new guidelines
urls: False
attachments: True
sentiment: authoritative
->
body:","2001 MANDATORY COMPLIANCE: NEW GUIDELINES FOR EMPLOYEE EXPENSES

Please review the attached guidelin... [87.16%]","<PER> Evans
Vice President
Corporate Law Department
<ORG>.
<PHONE>
<EMAIL>

<ATTACHMENT>... [80.52%]","<ATTACHMENT>  <ATTACHMENT>

<ATTACHMENT> 
<ATTACHMENT>... [99.26%]"
"subject: Administrative Directive: Required actions for all members
urls: False
attachments: False
sentiment: authoritative
->
body:",1.     In light of the recent <ORG> events and the heightened concern about the security of our nati... [99.97%],"Administrative Directive

To:	All <ORG> Employees

Re:	Required actions for all members

As you are ... [16.4%]","As you know, <ORG> has entered into a settlement with the SEC relating to <ORG>'s natural gas deriva... [77.07%]"
"subject: Formal Reminder: Your participation is required
urls: False
attachments: False
sentiment: authoritative
->
body:","2001 MID YEAR REVIEW

PER, 

Your participation in the mid year review process is required.  Your fe... [0.39%]",The following is a reminder that you are scheduled to appear before the <ORG> Board of Directors at ... [4.39%],"This is a formal reminder that your participation is required in the <ORG> <LOC> office today, <DATE... [99.31%]"
"subject: Executive Announcement: Structural changes to the program
urls: True
attachments: False
sentiment: authoritative
->
body:",2016 promises to be a pivotal year in the fight to reform our immigration system and to pass compreh... [93.86%],"Executive Announcement

Structural changes to the program

In order to further strengthen the core v... [94.77%]","Dear Colleagues,

I am writing to inform you of a few structural changes to the Executive Program. T... [91.66%]"
"subject: Official Communication: Updated procedures for all staff
urls: False
attachments: True
sentiment: authoritative
->
body:","1. All employees should be aware of the new procedures that have been
implemented.  We have attached... [99.07%]","This memo is being sent to all <ORG> staff to clarify the procedures for
accessing our office buildi... [98.01%]","<ATTACHMENT>  
<ATTACHMENT>  <<Staff%20Communications
%20-%20Updated%20Procedures%20for%20All%20Staf... [98.9%]"
"subject: Leadership Directive: Immediate adherence required
urls: False
attachments: False
sentiment: authoritative
->
body:",1.	We are in a crisis situation.  We have a high level of uncertainty regarding our future as a comp... [4.5%],"<PER>:

We are in the midst of a leadership crisis.  The senior leadership of <ORG> has lost the con... [99.87%]","<PER> has asked me to communicate the following directive to the <ORG> employee community:

<ORG> is... [6.48%]"
"subject: Compliance Notice: Failure to follow may result in penalties
urls: True
attachments: False
sentiment: authoritative
->
body:","12.31.01

TO:		All <ORG> Employees

FROM:	<PER>, Executive Vice President & Chief Compliance Officer... [4.25%]","Failure to follow may result in penalties.
Click on the following link to learn more: 
<URL>

This m... [99.96%]","Compliance Notice: Failure to follow may result in penalties 
Dear Colleague: 
The <ORG> has issued ... [1.8%]"
"subject: Board Decision: New operational standards implemented
urls: True
attachments: False
sentiment: authoritative
->
body:",2001 was a very difficult year for <ORG>.  While our performance in wholesale energy and broadband I... [2.33%],"Today, the Board of Directors approved a new set of operational standards. These standards will help... [99.88%]","To: <ORG> Board of Directors
From: <PER>, Chairman and CEO

As you know, there have been numerous me... [5.52%]"
"subject: Internal Memo: Mandatory attendance for upcoming briefing
urls: False
attachments: False
sentiment: authoritative
->
body:","1.	Please attend the following meeting, as your attendance is mandatory.
2.	This meeting will be hel... [99.79%]","The following memo was sent to all <ORG> employees this afternoon by <PER>, <PER> and <PER>.






<... [10.41%]","To: All <ORG> Employees Worldwide

From: <PER> Skilling and <PER>

Re: Mandatory attendance for upco... [4.6%]"
"subject: Booking confirmation: Your reservation is confirmed.
urls: True
attachments: True
sentiment: confirmation
->
body:","*******    * *******    * *******
**    *   **    *   **    *
*  *   *  *   *  *   *  *
**    *   **... [99.76%]","Dear JERRY DAVIS,

Thank you for making your travel plans with Continental Airlines
and Continental ... [99.94%]","Dear MARY,
Thank you for making an online travel booking with the Orbitz.com travel
site.  Your conf... [1.9%]"
"subject: Payment received successfully. Thank you!
urls: False
attachments: False
sentiment: confirmation
->
body:","1. Your payment to 'Jesse Jackson for President' has been received successfully.
2. The payment refe... [1.65%]","Payment Successful!

Thank you for your payment. You have successfully completed your payment.

Refe... [99.57%]","Thank you for your payment. Please print this page as your receipt.

You have paid $100.00 to: <EMAI... [17.56%]"
"subject: Your order has been confirmed and is being processed.
urls: True
attachments: False
sentiment: confirmation
->
body:","2001 - 2002 NFL SEASON TICKETS

Thank you for your order.  Your order has been confirmed and is bein... [99.87%]","Thank you for shopping with Amazon.com.

We have received your order and it is currently being proce... [94.67%]","Thank you for shopping at Amazon.com. Your order confirmation number is
101-0246788-021613. Your ord... [54.08%]"
"subject: Reservation details: Your booking is complete.
urls: True
attachments: True
sentiment: confirmation
->
body:","16DECE01

This email confirms your booking for the following reservation(s).

Reservation number: 16... [62.46%]","Dear Customer,

Your reservation is now complete.  You can view your reservations online
at any time... [99.98%]","This email confirms that you have successfully made a booking with
EasyJet Holidays Limited (""EasyJe... [51.51%]"
"subject: Invoice confirmation: Payment completed.
urls: False
attachments: True
sentiment: confirmation
->
body:","2001.0110.0089, 2001.0110.0088, 2001.0110.0087, 2001.0110.0086, 2001.0110.0085, 2001.0110.0084, 2001... [99.97%]","Payment completed.

You have received this e-mail because we have completed a payment
to an e-mail a... [96.95%]","Dear <PER> Wolfe,

Your invoice has been paid. Please find the details of your payment below. 
You c... [99.89%]"
"subject: Confirmation: Your appointment has been scheduled.
urls: False
attachments: False
sentiment: confirmation
->
body:","******This is a confirmation of your appointment at The Woodlands Family Eye Care******

Date: <DATE... [0.15%]","Dear <PER>,

Thank you for making an appointment with <PER> for <DATE> 10:00 AM.  Your appointment h... [34.64%]","Dear <PER>,

This email confirms that you have an appointment scheduled at <LOC> with

<PER> on ... [96.88%]"
"subject: Transaction successful: Receipt enclosed.
urls: False
attachments: True
sentiment: confirmation
->
body:","2002.01.15 12:59:33  EST

Transaction successful, receipt enclosed.

Thank you for shopping with Ama... [10.55%]","Thank you for your order.  Please find a receipt for your
transaction enclosed below.


<ATTACHMENT>... [33.57%]","Dear <PER>,

This email confirms that we have received your contribution of $5,000.00 by
check.  Tha... [97.03%]"
"subject: Your subscription has been activated successfully.
urls: True
attachments: False
sentiment: confirmation
->
body:","1STNQ.com - Your online news source

Your subscription has been activated successfully.

To unsubscr... [99.33%]","Dear User,

Thank you for registering with E*TRADE Securities. Your subscription to our service has ... [99.92%]","Dear Subscriber:

Congratulations!

You have successfully activated your subscription to the
Democra... [99.92%]"
"subject: Confirmation email: Your request has been processed.
urls: False
attachments: False
sentiment: confirmation
->
body:","******* Your request has been processed. *******


Your request has been processed. If you have any ... [96.95%]",Thank you for contacting the <ORG> IT Help Desk.  Your request has been processed.  You can close th... [77.76%],"Thank you for inquiring about a 2002-2003 football season ticket.  Your
request has been processed. ... [6.01%]"
"subject: Booking successful: Details inside.
urls: True
attachments: False
sentiment: confirmation
->
body:","*******BOOKING SUCCESSFUL*******
Dear <PER> D <PER>,

Thank you for your recent booking with <LOC> M... [45.7%]","Booking confirmation for <EMAIL> for flight

<DATE> QF 3023 SYD-BNE

Booking reference: 9A9B6A

We'v... [81.46%]","Thanks for making a booking with <ORG>!

Please use the confirmation number below to track your book... [99.95%]"
"subject: Booking Confirmation: Your upcoming stay at the Grand Hotel is confirmed.
urls: True
attachments: True
sentiment: confirming, positive
->
body:","******************************
This email is not sent unsolicited. This is a post-only
message syste... [63.04%]","Dear Mr. <PER>, 

Thank you for your recent online reservation at the Grand Hotel.  Your
confirmatio... [3.43%]","Dear TERRY CAMPBELL,

We are pleased to confirm your upcoming stay at the Grand Hotel.

Please find ... [0.03%]"
"subject: Payment Received: Official receipt for your recent purchase at TechStore.
urls: True
attachments: True
sentiment: confirming, neutral
->
body:","*******    **   **   ****    ******    ********   *****
**    **    ***  **     **    **    **     *... [99.95%]","Dear Customer,

We have received your payment for the following transaction:

Transaction Date: <DAT... [46.81%]","Dear Mr. <PER>,

We have received your payment for the items listed below and have shipped
them to y... [99.51%]"
"subject: Flight Itinerary: Confirmation and e-tickets for your trip to London.
urls: True
attachments: True
sentiment: confirming, informative
->
body:","13OCT01
Flight Confirmation and e-ticket
-----------------------------------

Dear <PER>,

Thank you... [3.8%]","Thank you for your recent trip planning request to Tripmasters.  We are
pleased to assist you with y... [99.69%]","This message is to confirm your electronic travel itinerary.

You have been successfully e-ticketed ... [0.05%]"
